"id","name","active","regNumber","route","category","status","profile","oldGenericRule"
"1","Acantan HTZ 8-12.5","Candesartan + hydrochlorothiazid","VD-30299-18","Uống","Tim mạch","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","antihypertensive_raas_ccb_beta"
"2","Aciclovir 5%","Acyclovir","VD-18434-13","Dùng ngoài","Kháng sinh / kháng nấm / kháng virus","Đã có hồ sơ xác minh theo hoạt chất/SĐK","aciclovir_cream_5","acyclovir"
"3","Aclasta 5mg","Zoledronic acid","VN-21917-19","Truyền tĩnh mạch","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","bisphosphonate_zoledronic"
"4","Actrapid","Insulin analog tác dụng nhanh, ngắn (Aspart, Lispro, Glulisine)","QLSP-1029-17","Tiêm","Nội tiết - chuyển hóa","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","insulin"
"5","Acupan (22)DV","Nefopam hydroclorid","VN-18589-15","Tiêm","Giảm đau - kháng viêm","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","opioid_nefopam"
"6","Acyclovir 3% SYT-25","Aciclovir","893110161724","Tra mắt","Kháng sinh / kháng nấm / kháng virus","Đã có hồ sơ xác minh theo hoạt chất/SĐK","aciclovir_eye_3","acyclovir"
"7","Ad - Liver","Cỏ nhọ nồi, Diệp hạ châu, Nhân trần","VD-31287-18","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","herbal_probiotic_supplement"
"8","Adrenalin DV24","Epinephrin (adrenalin)","893110172024","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","emergency_critical"
"9","Agilecox 200","Celecoxib","VD-25523-16","Uống","Giảm đau - kháng viêm","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","nsaid"
"10","Đại tràng - HD","Bạch thược, Bạch truật, Cam thảo, Hoàng liên, Kha tử, Mộc hương","VD-27232-17","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","herbal_probiotic_supplement"
"11","Đại tràng hoàn P/H","Bạch linh, Bạch thược, Bạch truật, Cam thảo, Đảng sâm, Hoài sơn, Hoàng Đằng, Hoàng liên, Mộc hương, Sa nhân, Trần bì","VD-25946-16","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","herbal_probiotic_supplement"
"12","Albuman 20% 200g/l","Albumin","870410036023","Tiêm truyền","Dịch truyền - điện giải - dinh dưỡng","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","electrolyte_fluid"
"13","Alcaine 0.5%","Proparacain hydroclorid","VN-21093-18","Nhỏ mắt","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","local_anesthetic"
"14","Alpha - choay","Alphachymotrypsin","893110342224","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","herbal_probiotic_supplement"
"15","Alsiful S.R.Tablets 10mg","Alfuzosin","VN-22539-20","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","urology_alpha_blocker"
"16","Am-broxol SYT-25","Ambroxol hydroclorid","893100276200","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","mucolytic_antitussive"
"17","Aminazin 1.25%","Clorpromazin","VD-30228-18","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","antipsychotic_psych"
"18","Amiparen 10%","Acid amin","893110453623","Tiêm truyền","Dịch truyền - điện giải - dinh dưỡng","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","electrolyte_fluid"
"19","Amlodipine 5 mg Cap","Amlodipin","VD-35752-22","Uống","Tim mạch","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","antihypertensive_raas_ccb_beta"
"20","ANAROPIN 5mg/ml (0,5%)","Ropivacain hydroclorid","VN-19004-15","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","emergency_critical"
"21","Aspirin tab DWP 100mg TTKN-25","Acetylsalicylic acid","893110251524","Uống","Tim mạch","Đã có hồ sơ xác minh theo hoạt chất/SĐK","acetylsalicylic_acid","statin_antiplatelet_anticoagulant"
"22","Atoris 10mg","Atorvastatin","VN-18272-14","Uống","Tim mạch","Đã có hồ sơ xác minh theo hoạt chất/SĐK","atorvastatin","statin_antiplatelet_anticoagulant"
"23","Atropin Sulphat","Atropin sulfat","VD-24376-16","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","emergency_critical"
"24","Axuka","Amoxicillin + acid clavulanic","594110072523","Tiêm","Kháng sinh / kháng nấm / kháng virus","Đã có hồ sơ chuyên môn nội bộ (kháng sinh/kháng nấm/kháng virus)","Axuka","amoxicillin_clavulanate"
"25","AYITE","Rebamipid","VD-20520-14","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","ppi_gi"
"26","Baci-subti SYT-25","Bacillus subtilis","893400647624","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","herbal_probiotic_supplement"
"27","Benita TTKN-25","Budesonide","893100314323","Xịt mũi","Hô hấp","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","bronchodilator_inhaled"
"28","Benzathin benzylpenicilin 1.200.000 IU","Benzathin benzylpenicilin","VD-29207-18","Tiêm","Thuốc nội trú khác","Đã có hồ sơ chuyên môn nội bộ (kháng sinh/kháng nấm/kháng virus)","Benzathin benzylpenicilin 1.200.000 IU","benzathine_penicillin"
"29","Bestdocel 20mg/1ml TTKN-25","Docetaxel","893114114823","Tiêm truyền","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","oncology"
"30","Bestdocel 80mg/4ml TTKN-25","Docetaxel","QLĐB-767-19","Tiêm truyền","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","oncology"
"31","Betaloc Zok 50mg","Metoprolol","730110022123","Uống","Tim mạch","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","antihypertensive_raas_ccb_beta"
"32","BFS-Adenosin DV-26","Adenosin","893110433024","Tiêm truyền","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","emergency_critical"
"33","BFS - Amiron","Amiodaron hydroclorid","VD-28871-18","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","emergency_critical"
"34","BFS-Naloxone","Naloxon hydroclorid","VD-23379-15","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","emergency_critical"
"35","BFS-Neostigmine 0.25 TTKN-25","Neostigmin metylsulfat","893114703224","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","emergency_critical"
"36","BFS-Nicardipin","Nicardipin","893110151024","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","emergency_critical"
"37","Bipp Zinc powder","Kẽm gluconat","893100198224","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","herbal_probiotic_supplement"
"38","Biseptol 480","Sulfamethoxazol + trimethoprim","VN-23059-22","Uống","Kháng sinh / kháng nấm / kháng virus","Đã có hồ sơ chuyên môn nội bộ (kháng sinh/kháng nấm/kháng virus)","Biseptol 480","tmp_smx"
"39","Bisoprolol 5mg","Bisoprolol","VN-22178-19","Uống","Tim mạch","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","antihypertensive_raas_ccb_beta"
"40","Bivelox I.V 5mg/ml","Levofloxacin","VD-33728-19","Tiêm truyền","Kháng sinh / kháng nấm / kháng virus","Đã có hồ sơ chuyên môn nội bộ (kháng sinh/kháng nấm/kháng virus)","Bivelox I.V 5mg/ml","fluoroquinolone"
"41","Bổ phế trị ho SYT-25","Sinh địa, Mạch môn, Huyền sâm, Bối mẫu, Bạch thược, Mẫu đơn bì, Cam thảo","VD-33929-19","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","mucolytic_antitussive"
"42","Bocartin 150 DV-26","Carboplatin","893114122725","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","oncology"
"43","Bolabio - TTKN 25","Saccharomyces boulardii","893400306424","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","herbal_probiotic_supplement"
