"id","name","active","regNumber","route","category","status","profile","oldGenericRule"
"99","Effe-C TP","Vitamin C","VD-29387-18","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","iron_vitamins"
"100","Emla cream 5%","Lidocain + prilocain","VN-19787-16","Dùng ngoài","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","local_anesthetic"
"101","Endoxan 200mg","Cyclophosphamid","VN-16581-13","Tiêm truyền","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","oncology"
"102","Ephedrine Aguettant 30mg/ml","Ephedrin","VN-19221-15","Tiêm truyền tĩnh mạch","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","emergency_critical"
"103","Epirubicin Bidiphar 50 TTKN-25","Epirubicin hydroclorid","893114115023","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","oncology"
"104","Femara","Letrozol","760114186923","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","oncology"
"105","Fentanyl 50 micrograms/ml","Fentanyl","VN-22499-20","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","emergency_critical"
"106","Fentanyl B.Braun 0.1mg/2ml","Fentanyl","VN-22494-20","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","emergency_critical"
"107","Fentanyl-Hameln 50 mcg/ml","Fentanyl","VN-17325-13","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","emergency_critical"
"108","Fosmicin for I.V.USE 2g","Fosfomycin","VN-13785-11","Tiêm","Kháng sinh / kháng nấm / kháng virus","Đã có hồ sơ chuyên môn nội bộ (kháng sinh/kháng nấm/kháng virus)","Fosmicin for I.V.USE 2g","fosfomycin"
"109","Fresofol 1% Mct/Lct Inj 20ml 5's","Propofol","","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","emergency_critical"
"110","Furosemid DV-26","Furosemid","VD-18827-13","Uống","Tim mạch","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","diuretic_furosemide"
"111","Garnotal","Phenobarbital","893112426324","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","antiepileptic_neuro"
"112","Garnotal 10","Phenobarbital","893112467324","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","antiepileptic_neuro"
"113","Gemapaxane TTKN-25","Enoxaparin natri","800410092123","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","anticoagulant_heparin"
"114","Gentamicin 80mg","Gentamicin","VD-25858-16","Tiêm","Kháng sinh / kháng nấm / kháng virus","Đã có hồ sơ chuyên môn nội bộ (kháng sinh/kháng nấm/kháng virus)","Gentamicin 80mg","aminoglycoside"
"115","Glucose 10%","Glucose","VD-25876-16","Tiêm truyền tĩnh mạch","Dịch truyền - điện giải - dinh dưỡng","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","electrolyte_fluid"
"116","Glumeben 500mg/2,5mg","Glibenclamid + metformin hydroclorid","VD-24598-16","Uống","Nội tiết - chuyển hóa","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","oral_antidiabetic"
"117","Golddicron","Gliclazid","800110402523","Uống","Nội tiết - chuyển hóa","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","oral_antidiabetic"
"118","Golistin-soda","Monobasic natri phosphat + dibasic natri phosphat","VD-34931-21","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","gi_antispasmodic_laxative"
"119","Goutcolcin DV-26","Colchicin","893115145024","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","gout"
"120","Hadudrota DV-26","Drotaverin hydroclorid","893110091625","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","gi_antispasmodic_laxative"
"121","Hadugut 300","Allopurinol","893110107600","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","gout"
"122","Hadumedrol","Diphenhydramin","893110299000","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","antihistamine_allergy"
"123","Hadumix Cap TTKN-25","N-acetylcystein","893100108000","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","mucolytic_antitussive"
"124","Hadunalin 1mg/ml TTKN-25","Adrenalin","893110151100","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","emergency_critical"
"125","Hapacol 250","Paracetamol (acetaminophen)","893100041023","Uống","Giảm đau - kháng viêm","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","paracetamol"
"126","Hasanbest 500/2.5 SYT-25","Glibenclamid + metformin hydroclorid","893110457724","Uống","Nội tiết - chuyển hóa","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","oral_antidiabetic"
"127","Haxium 40","Esomeprazol (dưới dạng Esomeprazol pellets 22,5% (vi hạt bao tan trong ruột chứa Esomeprazol magnesi trihydrat)","893110269523","Uống","Tiêu hóa","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","ppi_gi"
"128","Hemotocin","Carbetocin","893110281623","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","emergency_critical"
"129","Hepa-Mers 5g/10ml","L-ornithin - L-aspartat","400110069923","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","amino_acid_liver_nutrition"
"130","HEPARINE SODIQUE PANPHARMA 5 000 U.I./ml","Heparin (natri)","VN-15617-12","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","anticoagulant_heparin"
"131","Herticad 150mg 50%","Trastuzumab","460410036323","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","oncology"
"132","Huyết thanh kháng độc tố uốn ván tinh chế (SAT)","Huyết thanh kháng uốn ván","QLSP-1037-17","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","iron_vitamins"
"133","Hydrocortison 100mg","Hydrocortison","VD-29954-18","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","corticosteroid"
"134","Ibupain","Ibuprofen","VD-32720-19","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","nsaid"
"135","Ibuprofen S DWP 150mg TTKN-25","Ibuprofen","893100113424","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","nsaid"
"136","Implanon NXT","Etonogestrel","VN-20947-18","Tiêm dưới da","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","women_health"
